movie_id,title,genres
4,West Side Story,"['Crime', 'Drama', 'Musical']"
2,A Million Ways to Die in the West,"['Comedy', 'Western']"
3,Wild Wild West,"['Action', 'Western', 'Comedy']"
6,An American Tail: Fievel Goes West,"['Animation', 'Adventure', 'Family']"
5,Slow West,"['Action', 'Thriller', 'Western']"
7,Red Rock West,"['Crime', 'Drama', 'Thriller']"
8,How the West Was Won,['Western']
9,Journey to the West,"['Adventure', 'Comedy', 'Fantasy']"
10,West of Memphis,['Documentary']
1,Once Upon a Time in the West,['Western']
11,Star Wars: Episode IV - A New Hope,"['Action', 'Adventure', 'Fantasy']"
12,Star Wars: Episode V - The Empire Strikes Back,"['Action', 'Adventure', 'Fantasy']"
16,Star Trek,"['Action', 'Adventure', 'Sci-Fi']"
14,Star Wars: Episode I - The Phantom Menace,"['Action', 'Adventure', 'Fantasy']"
17,Star Wars: Episode II - Attack of the Clones,"['Action', 'Adventure', 'Fantasy']"
18,Star Trek Into Darkness,"['Action', 'Adventure', 'Sci-Fi']"
19,Star Trek: First Contact,"['Action', 'Adventure', 'Sci-Fi']"
20,Star Trek II: The Wrath of Khan,"['Action', 'Adventure', 'Drama']"
13,Star Wars: Episode VI - Return of the Jedi,"['Action', 'Adventure', 'Fantasy']"
15,Star Wars: Episode III - Revenge of the Sith,"['Action', 'Adventure', 'Fantasy']"
21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,['Comedy']
22,Love Actually,"['Comedy', 'Drama', 'Romance']"
24,"I Love You, Man","['Comedy', 'Romance']"
25,P.S. I Love You,"['Drama', 'Romance']"
23,Shakespeare in Love,"['Comedy', 'Drama', 'Romance']"
27,Punch-Drunk Love,"['Comedy', 'Drama', 'Romance']"
26,Love & Other Drugs,"['Comedy', 'Drama', 'Romance']"
29,From Russia with Love,"['Action', 'Adventure', 'Thriller']"
30,I Love You Phillip Morris,"['Biography', 'Comedy', 'Crime']"
32,Office Space,['Comedy']
33,Zathura: A Space Adventure,"['Action', 'Adventure', 'Comedy']"
31,2001: A Space Odyssey,"['Mystery', 'Sci-Fi']"
34,Space Cowboys,"['Action', 'Adventure', 'Thriller']"
35,Lost in Space,"['Action', 'Adventure', 'Family']"
36,Plan 9 from Outer Space,"['Horror', 'Sci-Fi']"
37,Muppets from Space,"['Adventure', 'Comedy', 'Family']"
38,Turks in Space,"['Action', 'Comedy', 'Sci-Fi']"
39,2001: A Space Travesty,"['Comedy', 'Sci-Fi']"
42,The Adventures of Baron Munchausen,"['Adventure', 'Comedy', 'Fantasy']"
43,The Adventures of Robin Hood,"['Action', 'Adventure', 'Romance']"
44,"The Adventures of Priscilla, Queen of the Desert","['Comedy', 'Music']"
45,Adventures in Babysitting,"['Action', 'Adventure', 'Comedy']"
28,From Paris with Love,"['Action', 'Thriller']"
40,Space Chimps,"['Animation', 'Adventure', 'Comedy']"
41,The Adventures of Tintin,"['Animation', 'Action', 'Adventure']"
46,The Many Adventures of Winnie the Pooh,"['Animation', 'Family', 'Musical']"
50,The Extraordinary Adventures of Adèle Blanc-Sec,"['Action', 'Adventure', 'Fantasy']"
49,The Adventures of Rocky & Bullwinkle,"['Animation', 'Adventure', 'Comedy']"
51,The Truman Show,['Drama']
52,The Rocky Horror Picture Show,"['Comedy', 'Musical']"
53,Quiz Show,"['Drama', 'History']"
54,Best in Show,['Comedy']
47,The Adventures of Sharkboy and Lavagirl 3-D,"['Action', 'Adventure', 'Family']"
48,The Adventures of Buckaroo Banzai Across the 8th Dimension,"['Adventure', 'Comedy', 'Romance']"
55,Show Me Love,"['Comedy', 'Drama', 'Romance']"
56,The Last Picture Show,['Drama']
57,The Greatest Show on Earth,"['Drama', 'Family', 'Romance']"
60,Show People,"['Comedy', 'Romance']"
61,Pirates of the Caribbean: Dead Man's Chest,"['Action', 'Adventure', 'Fantasy']"
58,There's No Business Like Show Business,"['Comedy', 'Drama', 'Musical']"
62,Shaun of the Dead,"['Comedy', 'Horror']"
59,Show Boat,"['Drama', 'Family', 'Musical']"
64,Dawn of the Dead,"['Action', 'Horror', 'Sci-Fi']"
63,Dead Poets Society,"['Comedy', 'Drama']"
66,Evil Dead,['Horror']
67,Evil Dead II,"['Comedy', 'Horror']"
68,Dawn of the Dead,['Horror']
70,Before the Devil Knows You're Dead,"['Crime', 'Drama', 'Thriller']"
71,Rise of the Planet of the Apes,"['Action', 'Drama', 'Sci-Fi']"
72,Dawn of the Planet of the Apes,"['Action', 'Drama', 'Sci-Fi']"
74,Planet Terror,"['Action', 'Comedy', 'Horror']"
73,Planet of the Apes,"['Action', 'Adventure', 'Sci-Fi']"
75,Planet of the Apes,"['Adventure', 'Sci-Fi']"
76,Treasure Planet,"['Animation', 'Adventure', 'Family']"
69,Night of the Living Dead,['Horror']
77,Red Planet,"['Action', 'Sci-Fi', 'Thriller']"
79,Forbidden Planet,"['Action', 'Adventure', 'Family']"
80,Beneath the Planet of the Apes,"['Action', 'Adventure', 'Sci-Fi']"
78,Planet 51,"['Animation', 'Adventure', 'Comedy']"
82,Alien³,"['Horror', 'Sci-Fi']"
81,Alien,"['Horror', 'Sci-Fi']"
83,Alien: Resurrection,"['Action', 'Horror', 'Sci-Fi']"
84,AVP: Alien vs. Predator,"['Action', 'Adventure', 'Sci-Fi']"
87,Alien Raiders,"['Action', 'Horror', 'Sci-Fi']"
86,Alien Nation,"['Action', 'Crime', 'Sci-Fi']"
85,My Stepmother Is an Alien,"['Comedy', 'Sci-Fi']"
88,Alien Autopsy,"['Comedy', 'Sci-Fi']"
89,Alien Abduction,"['Horror', 'Sci-Fi', 'Thriller']"
91,Butch Cassidy and the Sundance Kid,"['Biography', 'Crime', 'Drama']"
90,Alien Outpost,"['Action', 'Sci-Fi', 'Thriller']"
65,The Evil Dead,['Horror']
92,The Karate Kid,"['Action', 'Drama', 'Family']"
93,The Karate Kid,"['Action', 'Drama', 'Family']"
95,The Kid,"['Comedy', 'Drama', 'Family']"
96,"The Karate Kid, Part II","['Action', 'Family', 'Romance']"
94,The Heartbreak Kid,"['Comedy', 'Romance']"
98,Honey I Blew Up the Kid,"['Adventure', 'Comedy', 'Family']"
99,Diary of a Wimpy Kid,"['Comedy', 'Family']"
100,The Kid with a Bike,['Drama']
101,Trail of the Pink Panther,"['Comedy', 'Crime', 'Mystery']"
102,False Trail,"['Crime', 'Mystery', 'Thriller']"
103,Anacondas: Trail of Blood,"['Action', 'Horror', 'Sci-Fi']"
104,The Hallelujah Trail,"['Comedy', 'Western']"
105,HOUBA! On the Trail of the Marsupilami,"['Adventure', 'Comedy', 'Family']"
107,Santa Fe Trail,"['Adventure', 'Biography', 'Drama']"
106,The Big Trail,"['Adventure', 'Western', 'Romance']"
108,Crossfire Trail,"['Action', 'Western']"
109,MacGyver: Trail to Doomsday,"['Action', 'Adventure']"
97,The Kid,"['Comedy', 'Family', 'Fantasy']"
110,Where the Trail Ends,"['Documentary', 'Adventure', 'Drama']"
111,All Quiet on the Western Front,"['Drama', 'War']"
113,All Quiet on the Western Front,"['War', 'Drama']"
112,Sukiyaki Western Django,"['Action', 'Western']"
115,The Decline of Western Civilization,"['Documentary', 'History', 'Music']"
114,The Decline of Western Civilization Part II: The Metal Years,"['Documentary', 'Music']"
118,Western,"['Comedy', 'Romance']"
116,Brazilian Western,"['Crime', 'Drama', 'Romance']"
119,Total western,"['Crime', 'Drama', 'Thriller']"
120,Western Spaghetti,['Short']
121,Midnight Cowboy,['Drama']
122,Cowboy Bebop: The Movie,"['Animation', 'Action', 'Crime']"
